municipality,zip_code,age,gender,state,municipality_type
Unknown,19128,66,M,PA,state
Unknown,34108,24,M,FL,state
Unknown,48152,64,F,MI,state
Unknown,34104,58,M,FL,state
Unknown,01902,57,F,MA,state
Unknown,01902,57,F,MA,state
Unknown,30540,83,M,GA,state
Unknown,33947,60,F,FL,state
City Of Springfield,15642,63,F,PA,municipal
Town Of Weymouth,34208,62,F,FL,municipal
Unknown,33556,23,M,FL,state
Unknown,02762,12,F,MA,state
Unknown,32084,62,F,FL,state
Unknown,33071,59,M,FL,state
Unknown,34787,22,F,FL,state
Unknown,32124,60,F,FL,state
Unknown,12410,52,F,NY,state
Unknown,34667,64,F,FL,state
Unknown,39120,78,F,MS,state
Unknown,34288,63,M,FL,state
Unknown,19711,63,M,DE,state
Unknown,89130,17,M,NV,state
Unknown,32163,59,F,FL,state
Unknown,34211,57,F,FL,state
Unknown,32216,78,F,FL,state
Unknown,02186,61,F,MA,state
Unknown,43230,64,M,OH,state
City Of Lawrence,34744,17,F,FL,municipal
Unknown,32724,77,F,FL,state
Unknown,01373,52,F,MA,state
Unknown,32726,53,F,FL,state
Unknown,28714,50,M,NC,state
Unknown,47408,64,F,IN,state
Unknown,32822,64,F,FL,state
Unknown,32304,47,F,FL,state
Unknown,90020,64,F,CA,state
Unknown,12534,53,M,NY,state
Unknown,32224,75,F,FL,state
Unknown,34608,78,M,FL,state
Unknown,01069,57,M,MA,state
Unknown,33579,53,F,FL,state
Unknown,34787,58,M,FL,state
Town Of Swampscott,33308,63,M,FL,municipal
Unknown,20147,92,M,VA,state
Unknown,33771,23,F,FL,state
Unknown,34476,13,M,FL,state
Town Of Framingham,29577,62,F,SC,municipal
Unknown,10023,54,M,NY,state
Unknown,34787,60,M,FL,state
Unknown,34787,58,F,FL,state
Unknown,34787,58,F,FL,state
Unknown,01460,64,F,MA,state
Unknown,29212,63,M,SC,state
City Of Springfield,01040,57,F,MA,municipal
Unknown,31404,63,M,GA,state
Unknown,33027,65,M,FL,state
Town Of Marblehead,32940,62,M,FL,municipal
Unknown,34453,60,F,FL,state
Town Of Brookline,02904,43,M,RI,municipal
Unknown,33317,57,M,FL,state
Unknown,33487,63,F,FL,state
Unknown,28110,63,M,NC,state
Unknown,28562,53,M,NC,state
Unknown,18846,64,F,PA,state
Unknown,34293,59,M,FL,state
Unknown,34114,66,F,FL,state
Unknown,32159,85,F,FL,state
Unknown,87112,59,F,NM,state
Unknown,39819,61,F,GA,state
Unknown,01073,55,F,MA,state
City Of Springfield,32256,71,F,FL,municipal
Unknown,27596,16,F,NC,state
Unknown,33967,61,F,FL,state
Unknown,92536,57,F,CA,state
Unknown,07652,63,F,NJ,state
Town Of Weston,33498,64,F,FL,municipal
Town Of Groveland,33947,58,F,FL,municipal
Town Of Brookline,34235,63,F,FL,municipal
Unknown,31305,67,M,GA,state
Unknown,30030,69,F,GA,state
Unknown,36606,62,M,AL,state
Unknown,33914,61,M,FL,state
Unknown,34957,46,F,FL,state
Unknown,07722,61,M,NJ,state
Unknown,32757,64,F,FL,state
Unknown,34275,53,F,FL,state
Unknown,34211,18,F,FL,state
Unknown,31558,57,F,GA,state
Unknown,81520,18,M,CO,state
Unknown,08230,21,F,NJ,state
Unknown,32084,78,M,FL,state
Unknown,92131,14,F,CA,state
Unknown,34243,62,F,FL,state
Unknown,75670,34,F,TX,state
Town Of Wakefield,12849,22,M,NY,municipal
Unknown,28216,73,F,NC,state
Unknown,85653,60,F,AZ,state
